# 规划纵一路 面试转写

音频文件：规划纵一路.m4a
转录模型：whisper.cpp small

说明：这是机器原始转写，未逐句人工改写。录音中的 RAG、Agent、召回、数据集、UI 自动化、XPath、AGENTS.md、Skill、MCP、DeepEval / Ragas 及部分支付渠道名称存在明显识别误差；请以《伊智面试题整理》中按上下文校正后的术语为准。

[00:00:00 - 00:00:29] 好 现在就自我介绍 对 面试官你好 我叫梁天泰是
[00:00:29 - 00:00:34] 来面试这个女人技术工程师的这么一个岗位
[00:16:36 - 00:16:42] 基础的话就是我自己也沉淀了不少的关于测试数据的这么一个框架
[00:16:42 - 00:16:44] 然后
[00:16:45 - 00:16:46] 打剑的话就是先
[00:16:46 - 00:16:54] 我先让还是找一下github上面的一些关于ig的一些
[00:16:54 - 00:16:59] 好合理的一些数据库的这么一个实践然后我自己会去参照学习
[00:16:59 - 00:17:01] 然后再去
[00:17:01 - 00:17:06] 根据根据我本地的一些车车资料再去打剑一个ang这么一个
[00:17:06 - 00:17:09] 啊支持库我后续的话会
[00:17:09 - 00:17:14] 会生存一个平台式的就像个人对话
[00:17:14 - 00:17:19] 像我问他比如像这种面像这种面试的话我会问他
[00:17:19 - 00:17:24] 我要面试的像一地一字这颗记忆我面试这个岗位
[00:17:24 - 00:17:30] 然后他要回回我找到对应的一些像像我这种测试资料
[00:17:30 - 00:17:31] 嗯然后
[00:17:31 - 00:17:34] 编写好正确的一些什么
[00:17:34 - 00:17:41] 口语啊让他生存一些测试题啊让我去复习这样子
[00:17:43 - 00:17:48] 那比如说这一个支持库对吧你问的意思问题都会照回一些答案
[00:17:48 - 00:17:53] 那这个照回率的照回的这个正确率你要你去测的话你会怎么去测这个
[00:17:53 - 00:17:57] 呃支持库照回的一个正确率
[00:17:57 - 00:18:00] 怎么去测试啊
[00:18:00 - 00:18:04] 对因为你要达到你刚才说的那些效果
[00:18:04 - 00:18:07] 那首先我要保证你这个支持库的照回率
[00:18:08 - 00:18:13] 就是正确率是OK的就比如说问A他就照回了对应的支持
[00:18:13 - 00:18:16] 问B他就照回B对应的支持
[00:18:16 - 00:18:19] 就是说你要这个东西确保的之后
[00:18:19 - 00:18:21] 才能达到你想要的效果对吧
[00:18:21 - 00:18:26] 那你要怎么去测这个照回的一个正确率
[00:18:26 - 00:18:31] 他试集的话那种像量的一些定位吧
[00:18:31 - 00:18:37] 可能会去还是也比较看开始的话还是比较黑和的一个形式
[00:18:38 - 00:18:42] 然后我会尝试可能会去向AI沟通像什么我记得的
[00:18:42 - 00:18:45] 现在理解到的话就像怎么他有一些
[00:18:45 - 00:18:49] 像量的一些像是度吧
[00:18:49 - 00:18:52] 每个资料都有存一个像量
[00:18:52 - 00:18:55] 可能会他如果他输出的结果不对
[00:18:55 - 00:19:01] 那可能会去什么啊会考虑到他那些什么像量不正确这么一个情况
[00:19:01 - 00:19:04] 具体什么错
[00:19:07 - 00:19:08] 具体的话
[00:19:08 - 00:19:12] 我会
[00:19:12 - 00:19:16] 这样让他去检索
[00:19:16 - 00:19:20] 对应的资料会让他去输出对应的一些报告
[00:19:20 - 00:19:26] 这样去符合我这些测试的去定位
[00:19:26 - 00:19:29] 可能如果他输出
[00:19:29 - 00:19:35] 比如说比如说我
[00:19:36 - 00:19:38] 像刚才那个问题比如说我问
[00:19:38 - 00:19:40] 要测试的问
[00:19:40 - 00:19:43] 我要去面试这种
[00:19:43 - 00:19:45] 一致的这种智能化
[00:19:45 - 00:19:49] 智能化测试感慰如果他回答出了其他那种什么功能测试
[00:19:49 - 00:19:51] 这种不符合
[00:19:51 - 00:19:54] 不符合智能化的话我可能会考虑到
[00:19:54 - 00:19:57] 是否资料里面有混砸了一些
[00:19:57 - 00:20:02] 可能一些数用词语方便一些
[00:20:05 - 00:20:09] 词语方面的一些偏差吧
[00:20:09 - 00:20:14] 可能我会从这些角落去考虑
[00:20:14 - 00:20:27] 就比如说
[00:20:27 - 00:20:33] 你有没有就说有没有记得常试过就是我
[00:20:33 - 00:20:38] 照一个智能体然后去挂载一个ig的支持固定
[00:20:38 - 00:20:41] 然后就做一个智能体这样子的一个常试
[00:20:41 - 00:20:46] 我其实关于智能体的话
[00:20:46 - 00:20:50] 目前的话我打算去自己写一个
[00:20:50 - 00:20:51] 刚开始的话
[00:20:51 - 00:20:55] 刚开始我打算写一个ai克服的这么一个智能体
[00:20:55 - 00:20:57] 如果挂载ig的话
[00:20:57 - 00:21:01] 也是会挂载这么一个情况
[00:21:02 - 00:21:04] 我说一下我的试录吧
[00:21:04 - 00:21:06] 因为现在还是
[00:21:06 - 00:21:09] 没有什么落地的一些想法
[00:21:09 - 00:21:12] 不是没有落地想法是没有落地的一些时间
[00:21:12 - 00:21:15] 挂载的话
[00:21:15 - 00:21:17] 这个智能体
[00:21:17 - 00:21:21] 初步的话我会去表进行一个
[00:21:21 - 00:21:26] 体试时的这么一些输出吧输入吧
[00:21:26 - 00:21:29] 就像什么他是一个你是一个
[00:21:31 - 00:21:33] 熟练的一些ai克服
[00:21:33 - 00:21:37] 这么一个把他描述定位确定好
[00:21:37 - 00:21:39] 然后像什么
[00:21:39 - 00:21:44] 当把他编辑制定好这么一些情况
[00:21:44 - 00:21:48] 像表述他的一些调用情景调用场景
[00:21:48 - 00:21:50] 像如果是当用户提出
[00:21:50 - 00:22:01] 关于测试制制制制裤的一些制止点再去检索对应的一些
[00:22:01 - 00:22:06] 然后等于输出跟聚鬼者去输出对应一些
[00:22:06 - 00:22:07] 测试
[00:22:07 - 00:22:13] 再去以问答的形式告诉用户这么一些情况
[00:22:16 - 00:22:20] 除了这些之外你刚才有讲到就是用
[00:22:20 - 00:22:23] 口碟子来做那个测试用力的生成对吧
[00:22:23 - 00:22:28] 那你具体是怎么说就比如说
[00:22:28 - 00:22:33] 假设假设现在就是说我这个项目是不停的迭代的
[00:22:33 - 00:22:36] 对吧那比如说这一次你生成了这个用力了之后
[00:22:36 - 00:22:38] 那我下次又迭代了
[00:22:38 - 00:22:41] 然后还要继续生成我们的测试用力对吧
[00:22:41 - 00:22:43] 那我这个东西是一直持续的用的
[00:22:43 - 00:22:48] 那要你做一个生成测试用力的这样一个
[00:22:48 - 00:22:50] 你会怎么去设计这种东西
[00:22:50 - 00:22:55] 就基于你使用口碟子的生成测试用力的情况来说
[00:22:55 - 00:22:57] 你会怎么去设计这一个
[00:22:57 - 00:23:01] 或者说是怎么设置这条工作理由
[00:23:01 - 00:23:04] 整形式也好
[00:23:04 - 00:23:06] 工作理由的整形式也好都可以
[00:23:06 - 00:23:08] 让你的想法来讲一下
[00:23:08 - 00:23:12] 就是我理解到的问题就是它迭代
[00:23:13 - 00:23:16] 因为功能上的迭代导致测试用力不符合
[00:23:16 - 00:23:19] 不符合对应一个需求的一个测试
[00:23:19 - 00:23:22] 这样的话
[00:23:22 - 00:23:26] 我会去
[00:23:26 - 00:23:29] 我再想一想
[00:23:29 - 00:23:42] 我会把最新修改的那种需求本档
[00:23:42 - 00:23:44] 输入给它
[00:23:44 - 00:23:48] 让它去检索对应的一些测试用力
[00:23:48 - 00:23:51] 是否有对应的一些
[00:23:51 - 00:23:53] 像我测试用力的话
[00:23:53 - 00:23:55] 肯定有具体的一些描述步骤
[00:23:55 - 00:23:57] 让它去核实对应的测试用力
[00:23:57 - 00:24:00] 是否有偏差根据我的需求
[00:24:00 - 00:24:04] 我本地也会存对应的一些需求本档
[00:24:04 - 00:24:07] 如果这个部分的话
[00:24:10 - 00:24:13] 我本地会存一个义无博快的业需求
[00:24:13 - 00:24:16] 会根据某块的区分
[00:24:16 - 00:24:20] 细致到每一个需求的这么一个情况
[00:24:20 - 00:24:24] 如果这个需求改变的话
[00:24:24 - 00:24:26] 我会
[00:24:26 - 00:24:28] 就是让高速高速codes
[00:24:28 - 00:24:30] 所以我这个需求已经变更了
[00:24:30 - 00:24:34] 要去核实对应的
[00:24:34 - 00:24:38] 再去把原来的一些测试用力去搬出来
[00:24:39 - 00:24:43] 再去进行对应的一些重新回归测试
[00:24:43 - 00:24:48] 再去考虑到一些重新回归测试
[00:24:48 - 00:24:52] 还有一些其他设计的一些模块
[00:24:52 - 00:24:58] 再次进行原来的一些
[00:24:58 - 00:25:02] 先输出到我自己人工审核
[00:25:02 - 00:25:07] 再去进行对应的测试用力库
[00:25:07 - 00:25:09] 这么一个情况
[00:25:09 - 00:25:14] 那你那个测试用力库是打算是怎么做的
[00:25:14 - 00:25:15] 然后
[00:25:15 - 00:25:19] 这一次做了之后
[00:25:19 - 00:25:22] 你是怎么去迭代这个库的
[00:25:22 - 00:25:25] 这个测试用力库
[00:25:25 - 00:25:28] 我现在还是一个本地的一个情况
[00:25:28 - 00:25:30] 就按照某块的去区分
[00:25:30 - 00:25:32] 每个用力
[00:25:32 - 00:25:35] 对区分到每一个业务的比如像
[00:25:35 - 00:25:37] 计单模块
[00:25:37 - 00:25:41] 服务端的服务端是用这些一个模块
[00:25:41 - 00:25:46] 这些还是以本地的一个情况
[00:25:46 - 00:25:48] 如果是迭代的话
[00:25:48 - 00:25:52] 会把对应的模块的测试用力去搬出来
[00:25:52 - 00:25:56] 然后再进行重新修改之后
[00:25:56 - 00:26:00] 再去覆盖原来的一些测试用力
[00:26:00 - 00:26:02] 就这么一个情况
[00:26:02 - 00:26:05] 那比如说现在因为我们的系统比较大
[00:26:05 - 00:26:07] 模块比较多
[00:26:07 - 00:26:09] 然后如果说有一些大水球的
[00:26:09 - 00:26:10] 可能感动比较大
[00:26:10 - 00:26:12] 假设有一个
[00:26:12 - 00:26:15] 比如说我有一个水球
[00:26:15 - 00:26:16] 可能是
[00:26:16 - 00:26:19] 或者是收获一个收获的水球迭代的话
[00:26:19 - 00:26:23] 那可能会涉及到你上层的下单
[00:26:23 - 00:26:26] 然后分站啊裤纯啊
[00:26:26 - 00:26:27] 或者说
[00:26:27 - 00:26:30] 然后收获收获的时候回退要退款
[00:26:30 - 00:26:32] 所以这些不存在啊等等
[00:26:32 - 00:26:33] 一系列的东西
[00:26:33 - 00:26:36] 如果说有那些很有货人之类的
[00:26:36 - 00:26:37] 可能也会涉及到
[00:26:37 - 00:26:39] 然后还有转单之类的
[00:26:39 - 00:26:42] 就可能它设计的模块可能有蛮多的
[00:26:42 - 00:26:43] 对吧
[00:26:43 - 00:26:45] 那按照你这个逻辑的话
[00:26:45 - 00:26:46] 你去怎么样去
[00:26:46 - 00:26:49] 要去找到所有对应的模块
[00:26:49 - 00:26:51] 然后再去修改这些人类
[00:26:51 - 00:26:53] 然后再写入进去
[00:26:53 - 00:26:59] 有没有一种比较少很多链的
[00:26:59 - 00:27:02] 就是让AI去做这些事情
[00:27:02 - 00:27:03] 然后你怎么去吧
[00:27:03 - 00:27:05] AI能做好这些事情
[00:27:05 - 00:27:07] 然后怎么检验它是OK的
[00:27:07 - 00:27:08] 这样子
[00:27:08 - 00:27:12] 怎么检验它是OK
[00:27:12 - 00:27:13] 对 因为按照你的想法
[00:27:13 - 00:27:16] 就可能就是会有一个
[00:27:16 - 00:27:19] 可能会有很多很多测试用力的文件
[00:27:19 - 00:27:21] 可能会很大里面没有很多
[00:27:21 - 00:27:23] 要按功能按模块
[00:27:23 - 00:27:25] 可能会分分成
[00:27:25 - 00:27:26] 要么就是文版很大
[00:27:26 - 00:27:28] 要么就是很多文版的这种形式的
[00:27:28 - 00:27:31] 那你要怎么在这一对里面去
[00:27:31 - 00:27:35] 就是很精准的更新到
[00:27:35 - 00:27:38] 每一个改动到的用力
[00:27:38 - 00:27:41] 然后迭代完了之后怎么去吧
[00:27:41 - 00:27:42] 是OK的
[00:27:42 - 00:27:44] 因为按照你这个设计的话
[00:27:44 - 00:27:47] 但凡有那么一连条不OK的
[00:27:47 - 00:27:52] 就是说已经不符合最新水球的
[00:27:52 - 00:27:54] 业务规则在里面的话
[00:27:54 - 00:27:56] 就可能会导致你以后出来的
[00:27:56 - 00:27:58] 测试用力全部都是错的
[00:27:58 - 00:27:59] 对吧
[00:27:59 - 00:28:02] 所以说你要确保每一条都是OK的
[00:28:02 - 00:28:04] 你要怎么去做这个事情
[00:28:04 - 00:28:07] 还有就是你刚才说的它的生批
[00:28:07 - 00:28:11] 就是说我一个水球用力出来
[00:28:11 - 00:28:14] 那个测试用力它可能会有很多
[00:28:14 - 00:28:17] 可能不说多
[00:28:17 - 00:28:19] 可能就算它200条
[00:28:19 - 00:28:22] 那200条你要从皮板的话
[00:28:22 - 00:28:25] 你怎么样去减少你
[00:28:25 - 00:28:28] 因为你人写用力跟皮用力是两个概念
[00:28:28 - 00:28:31] 你自己写的话可能会没觉得什么
[00:28:31 - 00:28:32] 就对着写
[00:28:32 - 00:28:33] 但是你要去皮
[00:28:33 - 00:28:34] 你去看这个东西
[00:28:34 - 00:28:36] 然后还对着水球去放
[00:28:36 - 00:28:39] 一条一条对完了之后OK皮完
[00:28:39 - 00:28:41] 那这个工作量其实也是一个
[00:28:41 - 00:28:42] 巨大的工作量
[00:28:42 - 00:28:44] 那怎么样去设计
[00:28:44 - 00:28:45] 或者怎么样去做那个
[00:28:45 - 00:28:49] 减低一部分皮的难度
[00:28:49 - 00:28:51] 跟皮的工作量
[00:28:51 - 00:28:54] 减低皮的工作量的话
[00:28:54 - 00:28:57] 它只能用你还是增加AI智能体
[00:28:57 - 00:29:00] 增加我还是会采用
[00:29:00 - 00:29:03] 其实最快的话就是用本地的一个skill
[00:29:03 - 00:29:07] 先我自己跑通这么一个一两条流程
[00:29:07 - 00:29:10] 然后把对你的一个skill写成
[00:29:10 - 00:29:14] 写成一个skill让AI帮我去评审
[00:29:14 - 00:29:17] 要去跑先阻量的去跑
[00:29:17 - 00:29:18] 阻量去验证
[00:29:18 - 00:29:20] 符合我自己的要求的话
[00:29:20 - 00:29:22] 再扩大规模
[00:29:22 - 00:29:24] 再去完整的这么一个去验证
[00:29:24 - 00:29:28] 让他去给出给出一个评分的一个规则
[00:29:28 - 00:29:34] 这是去验证大规模的这么一个验证
[00:29:34 - 00:29:41] 那叠带呢
[00:29:41 - 00:29:43] 叠带
[00:29:43 - 00:29:46] 叠带我理解的我说一下
[00:29:46 - 00:29:49] 我理解的是否和你说的一样
[00:29:49 - 00:29:51] 叠带的话是你说的就是
[00:29:51 - 00:29:54] 应该就是大规模的一个叠带
[00:29:54 - 00:29:59] 如果保证他修改的是否符合
[00:29:59 - 00:30:01] 符合需求这么一个样子吗
[00:30:01 - 00:30:05] 大规模一个叠带
[00:30:05 - 00:30:07] 修改其中一两条的话
[00:30:07 - 00:30:10] 我会
[00:30:10 - 00:30:13] 首先这种大规模的一个
[00:30:13 - 00:30:16] 叠带会让
[00:30:16 - 00:30:19] AI输出他的一个
[00:30:19 - 00:30:21] 覆盖的一个范围吧
[00:30:21 - 00:30:28] 先保在每一条测试用力入库
[00:30:28 - 00:30:29] 我会创建一个
[00:30:29 - 00:30:31] 这个sql用于
[00:30:31 - 00:30:35] 判定这个测试用力入库是否符合
[00:30:35 - 00:30:40] 先让他自己验证一遍是否符合
[00:30:40 - 00:30:42] 对应一个入库的一个标准吧
[00:30:42 - 00:30:44] 就保证他
